ID,tag,datum,rueckmeld,besichtigt,zeit,adresse,qm,miete,miete_raw,warm,moebel,area,fake,lat,lon
67,12,18/09/13,1,1,11,Schnellerstr. 65B,30,375,375,1,,Oberschoeneweide,,52.45,13.53
68,,,,,,Seestr. 117,39,295,295,1,,Wedding,,52.547625,13.34453
69,,,,,,Bouchestr. 79,27,355,355,,,Kreuzberg,,52.4904216,13.448873
70,,,,,,Grammestr. 3,42,290,290,,,Siemensstadt,,52.53591,13.266973
71,,,,,,Schillerstr.,28,330,330,,,Charlottenburg,,52.511261,13.322682
72,,,,,,Wickertstr. 67,32,370,370,,,Prenzlauer Berg,,52.550237,13.416676
73,,,,,,Huttenstr. 25,30,320,320,,,Schoeneberg,,52.50,13.34
74,,,,1,0,Gruenbergstr. 84,37,318,318,,,Friedrichshain,,52.51402,13.45403
75,,,,,,Kiantschoustr. 16,32,258,258,,,Wedding,,52.540635,13.356369
76,5,11/10/13,1,1,8,Tempelhofer Damm 127,32,341,341,,,Tempelhof,,52.468183,13.385986
77,9,15/10/13,1,1,17,Osloerstr. 116,35,310,310,,,Wedding,,52.557148,13.366174
78,,,,,,Gledischstr. 68,29,350,350,,,Schoeneberg,,52.490586,13.35472
79,,,,,,,40,317,317,,,Charlottenburg,,52.5186806,13.3064299
80,,,,,,Reichstr.,32,332,332,,,Mitte,,52.5185356,13.378355
81,,,,,,Groningerstr. 4,43,379,379,,,Wedding,,52.551054,13.36247
82,,,,,,Kamerunerstr. 11,40,328,328,1,,Wedding,,52.550377,13.346363
83,,,,,,Wilhelmshavenerstr. 58,35,335,335,,,Moabit,,52.529631,13.341132
84,,,,,,Moeckernstr. 122,38,360,360,,,Kreuzberg,,52.498291,13.380413
85,,,,,,Bundesplatz,36,378,378,,,Wilmersdorf,,52.4775009,13.3286114
86,,,,,,Siemensstr. 11B,34,360,360,1,,Moabit,,52.532668,13.332703
87,,,,,,Motzstr.,34,397,397,,,Schoeneberg,,52.494956,13.339474
88,,,,,,Alexanderplatz,44,368,368,,,Mitte,,52.52,13.41
89,21,27/10/13,1,1,15,Boxhagenerstr. 66,27,437,337,0,,Friedrichshain,,52.506018,13.470755
90,13,19/10/13,1,1,14,Dudenstr. 66,35,391,391,1,,Kreuzberg,,52.485177,13.37617
91,,,,,,Sonnenallee 102,23,330,330,1,,Neukoelln,,52.4761124,13.4525003
92,,,,,,Friedrichshain 34,34,414,314,0,,Friedrichshain,,52.514019,13.45403
93,16,22/10/13,1,1,16,Luebeckerstr. 27,33,328,328,1,,Tiergarten,,52.50984,13.36345
94,,,,,,Osloerstr. 116,25,200,200,,,Wedding,,52.557148,13.366174
95,,,,,,Weisestr. 54,38,350,350,1,,Neukoelln,,52.477883,13.423952
96,14,20/10/13,1,1,13,Rodenbergstr. 3,32,355,255,0,,Prenzlauer Berg,,52.55141,13.414768
97,,,,,,Friedrichsbrunnerstr. 16,34,267,267,,,Neukoelln,,52.460617,13.429313
98,,,,,,Glasgowerstr. 27,35,385,285,0,,Wedding,,52.555974,13.3438
99,,,,,,Lübeckerstr. 66,33,328,328,1,,Tiergarten,,52.50984,13.36345
100,,,,,,Prinzenallee 47,35,360,360,,,Gesundbrunnen,,52.559853,13.386023
